1	鈴木　誠也	(広)	.335	140	612	499	112	167	31	0	28	282	87	25	16	0	3	103	12	7	81	3	.565	.453
2	ビシエド	(中)	.315	143	594	534	56	168	43	0	18	265	93	2	1	0	6	41	9	13	88	22	.496	.374
3	糸井　嘉男	(神)	.314	103	444	382	45	120	22	1	5	159	42	9	5	0	3	52	7	7	63	10	.416	.403
4	大島　洋平	(中)	.312	143	623	558	89	174	23	3	3	212	45	30	7	3	3	50	3	9	78	5	.380	.376
5	坂本　勇人	(巨)	.312	143	639	555	103	173	26	0	40	319	94	5	3	3	2	77	6	2	123	9	.575	.396
6	西川　龍馬	(広)	.297	138	585	535	70	159	23	3	16	236	64	6	7	11	5	32	4	2	81	9	.441	.336
7	青木　宣親	(ヤ)	.297	134	565	489	84	145	19	2	16	216	58	1	2	1	3	61	2	11	72	13	.442	.385
8	高橋　周平	(中)	.293	117	471	430	50	126	28	5	7	185	59	3	4	5	1	32	7	3	70	10	.430	.345
9	丸　佳浩	(巨)	.292	143	631	535	82	156	26	1	27	265	89	12	5	0	7	86	3	3	125	15	.495	.388
10	阿部　寿樹	(中)	.291	129	484	447	51	130	24	3	7	181	59	1	0	3	2	31	3	1	82	9	.405	.337
11	亀井　善行	(巨)	.284	131	503	450	67	128	27	2	13	198	55	9	1	3	5	45	3	0	91	6	.440	.346
12	宮﨑　敏郎	(デ)	.284	114	473	433	54	123	22	1	15	192	49	0	0	0	5	32	2	3	35	13	.443	.334
13	バレンティン	(ヤ)	.280	120	468	410	65	115	13	0	33	227	93	0	1	0	3	54	3	1	117	11	.554	.363
14	神里　和毅	(デ)	.279	123	458	427	62	119	31	3	6	174	35	15	10	3	0	26	2	2	121	7	.407	.323
15	會澤　翼	(広)	.277	126	447	376	38	104	21	2	12	165	63	2	1	3	0	58	5	10	81	6	.439	.387
16	雄平	(ヤ)	.273	131	493	447	55	122	19	0	12	177	56	4	3	1	6	37	4	2	71	4	.396	.327
17	筒香　嘉智	(デ)	.272	131	557	464	74	126	24	0	29	237	79	0	0	0	3	88	5	2	141	5	.511	.388
18	近本　光司	(神)	.271	142	640	586	81	159	20	7	9	220	42	36	15	14	3	31	2	6	110	2	.375	.313
19	山田　哲人	(ヤ)	.271	142	641	520	102	141	35	5	35	291	98	33	3	0	5	110	7	6	121	14	.560	.401
20	ソト	(デ)	.269	141	584	516	82	139	18	0	43	286	108	0	0	0	4	59	4	5	98	14	.554	.348
21	中村　悠平	(ヤ)	.269	126	450	372	42	100	24	2	5	143	36	1	4	13	2	53	3	10	64	11	.384	.373
22	糸原　健斗	(神)	.267	143	572	491	66	131	20	4	2	165	45	6	5	11	3	60	2	7	70	7	.336	.353
23	梅野　隆太郎	(神)	.266	129	492	433	49	115	22	3	9	170	59	14	3	16	3	34	4	6	83	16	.393	.326
24	岡本　和真	(巨)	.265	143	628	555	84	147	29	0	31	269	94	3	0	2	3	62	3	6	132	15	.485	.343
25	菊池　涼介	(広)	.261	138	619	547	77	143	36	2	13	222	48	14	5	28	2	41	0	1	102	5	.406	.313
26	大山　悠輔	(神)	.258	143	587	538	52	139	33	1	14	216	76	3	0	1	4	39	3	5	98	12	.401	.312
27	京田　陽太	(中)	.249	140	574	507	46	126	14	5	3	159	40	17	7	24	3	37	3	3	91	10	.314	.302
28	ロペス	(デ)	.241	142	597	551	69	133	28	0	31	254	84	0	0	0	3	39	6	4	107	18	.461	.295
29	大和	(デ)	.237	137	490	438	42	104	17	2	0	125	37	3	1	10	2	34	1	6	75	7	.285	.300
30	村上　宗隆	(ヤ)	.231	143	593	511	76	118	20	0	36	246	96	5	4	0	3	74	5	5	184	9	.481	.332
